BEGIN_DATE,Low ,High,Precipitation,Snow,Sum_Crashes,Sum_Fatalities,Sum_Persons,text
12/10/2015,33.00,44.00,0.00,0.00,0.00,0.00,0.00,"Strong, gusty southerly winds developed ahead of a Pacific storm system, with the strongest gusts recorded in western Utah.Peak recorded wind gusts in the Salt Lake and Tooele valleys included 69 mph at the Interstate 80 at Milepost 78 sensor, 63 mph at Flight Park South, 60 mph at the Great Salt Lake Marina, and 60 mph at Stockton Bar."
12/13/2015,33.50,44.50,0.12,0.00,0.00,0.00,0.00,"A strong, slow moving winter storm crossed Utah in the middle of December, bringing over a foot of snow to much of the state.Most of the Salt Lake and Tooele Valleys received over a foot of snow during the event, with storm totals of 23 inches in Sandy and Cottonwood Heights, 21 inches in Upper Millcreek, 18 inches in the Upper Avenues, 17 inches in Olympus Cove, and 15 inches in Draper and Tooele. Totals were often smaller toward the northern end of the Salt Lake Valley, with the Salt Lake International Airport receiving 9.5 inches of snow; however, this included 8.2 inches on the calendar day of December 14, which broke the old record for the date of 5.8 inches in 1922. Over 150 accidents or stranded motorists were reported in the Salt Lake Valley, and at least 1,500 customers were without power at some point during the event, with many of those in Bluffdale and Draper."
12/24/2015,34.00,45.00,0.30,0.00,0.00,0.00,0.00,"Northern Utah received even more snowfall during a storm that centered on Christmas Day. In addition, Washington County in far southwest Utah also received gusty northerly winds as the storm exited the area.Storm total snowfall reports from this relatively quick event included 10 inches in Tooele, Cottonwood Heights, and South Jordan, as well as 8.5 inches in Taylorsville, 8 inches in Kearns, and 7 inches in Sandy."
2/17/2016,34.50,45.50,0.55,3.00,2.00,0.00,0.00,None
3/6/2016,35.00,46.00,0.00,2.10,5.00,0.00,0.00,"A strong Pacific cold front moved across Utah on March 6, with gusty winds observed both ahead of and behind the front.Peak recorded wind gusts in the Salt Lake and Tooele Valleys included 61 mph at Vernon Hill and 59 mph in Draper."
7/19/2016,35.50,46.50,0.00,12.00,12.00,2.00,1.00,"On July 19, an arsonist intentionally set fire to a field in Tooele. Fanned by strong wind gusts, the fire was pushed to a nearby neighborhood, destroying and damaging several homes.An arsonist intentionally set fire to a field in Tooele on the night of July 19. The fire spread quickly into a nearby neighborhood due to gusty winds, with gusts generally in the 25-35 mph range. By the time firefighters had controlled the blaze by the morning of July 20, the fire had destroyed 10 homes and caused significant damage to 8 other homes. In addition, about eight cars and at least five outbuildings were destroyed. The fire also consumed trees and vinyl fences. Ten people were treated at the hospital for smoke inhalation, and at least three of those were first responders. One person was treated for a head injury from a fall related to the fire."
10/16/2016,36.00,47.00,0.00,0.00,1.00,4.00,2.00,"Gusty winds developed both ahead of and behind a cold front, with the strongest winds in the Salt Lake Valley.Peak recorded wind gusts included 70 mph at Vernon Hill, 63 mph at the State Route 201 at Interstate 80 sensor, 61 mph at the Great Salt Lake Marina, and 58 mph at Point of the Mountain."
10/30/2016,36.50,47.50,0.50,19.00,0.00,0.00,0.00,"A Pacific storm system brought strong, gusty winds to western Utah over the last two days of October.Strong winds were recorded in the Salt Lake and Tooele Valleys both ahead of and behind the cold front, including gusts of 73 mph at the Interstate 80 at Milepost 78 sensor, 69 mph in Tooele, 67 mph at Vernon Hill, 65 mph at both the Great Salt Lake Marina and Stockton Bar, and 60 mph at Point of the Mountain."
11/28/2016,37.00,48.00,0.78,0.00,0.00,0.00,0.00,"Utah experienced its first major snowstorm of the 2016-17 winter at the end of November, with both the mountains and valleys receiving significant amounts of snow over a 2-3 day period.Storm total snowfall included 8 inches at Upper Millcreek, 7 inches at the Upper Avenues and the University of Utah, and 6 inches in Cottonwood Heights."
12/23/2016,37.50,48.50,2.10,0.00,2.00,1.00,1.00,"A cold and moist Pacific storm brought heavy snowfall to most of Utah for Christmas, with significant accumulations in both the valleys and mountains.Storm total snowfall included 14 inches at Upper Millcreek and Cottonwood Heights, 13 inches in West Valley and Tooele, and 12 inches in Sandy and the Upper Avenues. Many other locations across the area received 8-11 inches of snow. The official Salt Lake City snowfall of 8.6 inches on the calendar day of December 25 was the second most on record, behind only the 1916 daily total of 9.0 inches of snow."
1/8/2017,38.00,49.00,0.00,5.00,4.00,3.00,16.00,None
1/20/2017,38.50,49.50,0.12,6.00,3.00,1.00,4.00,None
2/7/2017,39.00,50.00,0.30,0.00,0.00,0.00,0.00,None
2/21/2017,39.50,50.50,0.55,0.00,0.00,0.00,0.00,None
2/21/2017,40.00,51.00,0.00,0.00,0.00,0.00,0.00,None
3/5/2017,40.50,51.50,0.00,3.00,2.00,12.00,2.00,"A cold front moved through Utah on March 5, producing strong, and sometimes destructive, winds both ahead of and behind the front. The front also brought snowfall to the state, with the heaviest snow in northern Utah.Peak recorded wind gusts included 77 mph at the Great Salt Lake Marina, 76 mph in Tooele, 72 mph at the Olympus Hills sensor, 68 mph at Draper, and dozens of reports in the 55-65 mph range. Tree damage was widespread across both the Salt Lake and Tooele Valleys, with many trees uprooted. Damage was also reported to roofs, carports, and fences."
4/1/2017,41.00,52.00,0.00,2.10,5.00,0.00,0.00,The easterly downslope wind event in northern Utah that began on March 31 continued into April 1. Note that this event began in March.The sensor at the University of Utah William Browning Building recorded a maximum wind gust of 58 mph.
4/13/2017,41.50,52.50,0.50,12.00,12.00,0.00,0.00,None
6/12/2017,42.00,53.00,0.78,0.00,1.00,1.00,3.00,None
10/20/2017,42.50,53.50,2.10,19.00,0.00,0.00,0.00,"A cold front moved through Utah on October 20, bringing strong gusty winds to northern Utah, with some damage reported along the Wasatch Front.Peak recorded wind gusts in the Salt Lake Valley included 62 mph at the SR-201 at I-80 sensor and 60 mph at Flight Park South. The strong winds with the cold front led to significantly reduced visibility across the valley in blowing dust. In addition, the high winds knocked down power lines in Midvale, with over 2,000 customers losing power. A 60-year-old tree in Sugarhouse was also blown down by the winds."
11/27/2017,43.00,54.00,0.00,0.00,0.00,0.00,0.00,"A storm system moved through Utah on November 27, producing strong, gusty winds, particularly across northern and western Utah. In most cases, the strongest winds were behind the cold front.Peak recorded wind gusts included 64 mph at the SR-201 at I-80 sensor, 61 mph at the Great Salt Lake Marina, and 58 mph at Flight Park South."
1/19/2018,43.50,54.50,0.12,0.00,2.00,0.00,0.00,"Utah's first significant winter storm of 2018 entered the state on January 19, and brought heavy snowfall to both valley and mountain locations.Heavy snowfall was widespread across the Salt Lake and Tooele Valleys, with storm total snowfall reports of 16 inches in Sandy and Cottonwood Heights, 13.5 inches in Draper, 12.5 inches in Kearns, Upper Millcreek, and Fort Union, and 11 inches in Tooele. For the calendar day of January 20, Tooele recorded 10 inches of snow, which broke the calendar day record of 7 inches set in 1937."
2/18/2018,44.00,55.00,0.30,5.00,4.00,0.00,0.00,"A significant winter storm entered the state on February 18, bringing heavy snowfall to both valley and mountain locations.The Salt Lake and Tooele Valleys saw widespread heavy snowfall. Storm total snowfall reports included 25 inches in Sandy, 23 inches in Cottonwood Heights, 17.5 inches in Tooele, 15 inches in Olympus Cove, and 14 inches in Taylorsville. For the calendar day of February 19, Tooele recorded 13 inches of snow, which broke the calendar day record of 8 inches, set in 1945."
2/22/2018,44.50,55.50,0.55,6.00,3.00,0.00,0.00,"Another potent winter storm entered the state on February 22, bringing snow to both mountain and valley locations. The most significant snow totals were recorded over northern Utah.West Valley City and Tooele received 9 inches of snow."
3/2/2018,45.00,56.00,0.00,0.00,0.00,0.00,0.00,"March came in like a lion across Utah, as a storm system produced strong winds on March 2, followed by widespread heavy snowfall across the state.Peak recorded wind gusts across the Salt Lake and Tooele Valleys included 80 mph at Tooele, 74 mph at the SR-201 at I-80 sensor, 63 mph at Olympus Hills, 62 mph at Olympus Cove, and 58 mph at the UDOT I-80 @ mp 78 sensor. Damage in this area included several power poles that were blown over in Tooele, and a carport that was detached from a house in Tooele by the wind; this carport was blown into a power line, and both the power line and carport fell into the street. More than 3,000 people in Tooele County and nearly 1,000 people in Salt Lake County lost power during this event."
3/3/2018,45.50,56.50,0.00,0.00,0.00,0.00,0.00,None
3/14/2018,46.00,57.00,0.00,0.00,0.00,0.00,0.00,None
3/22/2018,46.50,57.50,0.50,3.00,2.00,2.00,2.00,None
4/12/2018,47.00,58.00,0.78,2.10,5.00,0.00,0.00,None
4/16/2018,47.50,58.50,2.10,12.00,12.00,0.00,0.00,None
9/15/2018,48.00,59.00,0.00,0.00,1.00,2.00,2.00,"A human caused fire developed during the afternoon of September 15 in Herriman. The fire destroyed two homes before being contained that evening.A juvenile playing with fireworks sparked a fire in Herriman on the afternoon of September 15. Due to windy conditions and low relative humidity, the fire spread quickly, eventually burning more than 100 acres, destroying two homes, and causing the temporary evacuation of some nearby neighborhoods before being contained during the evening. One firefighter and four police officers were treated for smoke inhalation and heat exhaustion while helping fight the fire."
12/1/2018,48.50,59.50,0.00,19.00,0.00,0.00,0.00,"A winter storm moved through Utah bringing snow and travel incidents throughout Utah's valleys.Storm total snowfall amounts in the Salt Lake Valley and Tooele Valley included 9 inches in Herriman, 5.9 inches at Salt Lake City International Airport, 6.5 inches in Sandy, and 9 inches in Tooele. Daily snowfall records were set at Tooele and Salt Lake City International Airport. According to the Utah Highway Patrol, 91 traffic accidents were reported."
1/21/2019,49.00,60.00,0.12,0.00,0.00,0.00,0.00,"A winter storm moved across Utah and created widespread impacts along the Wasatch Front on January 21 due to heavy snowfall.Heavy snowfall was widespread across the Salt Lake and Tooele Valleys, with storm total snowfall reports of 18 inches in Sandy and Cottonwood Heights, 11 inches in Olympus Cove and Upper Millcreek, 8 inches in Draper, and 12 inches in Tooele. For the calendar day of January 21, Tooele recorded 8.6 inches of snow, which broke the calendar day record of 8 inches set in 1974."
2/3/2019,49.50,60.50,0.30,0.00,2.00,2.00,6.00,"A prolonged winter storm brought snow to much of Utah with significant snow accumulations to Utah's mountains, northern Utah's valleys, and heavy rain across southern Utah's valleys.The Salt Lake and Tooele Valleys saw widespread heavy snowfall. Storm total snowfall reports included 22 inches in West Jordan, 19 inches in Sandy, 18 inches in Taylorsville, 17 inches in Daybreak, 15 inches in Sugarhouse and Tooele, and 14 inches at the Salt Lake City International Airport. For the calendar day of February 6, Tooele recorded 14 inches of snow, which broke the calendar day record of 6 inches, set in 1986. Another calendar day record was set at the Salt Lake Triad COOP observation location which received 7 inches of snow, which broke the previous record of 2 inches set in 2008."
2/13/2019,50.00,61.00,0.55,5.00,4.00,0.00,0.00,None
2/13/2019,50.50,61.50,0.00,6.00,3.00,0.00,0.00,None
3/1/2019,51.00,62.00,0.00,0.00,0.00,0.00,0.00,None
3/13/2019,51.50,62.50,0.00,0.00,0.00,0.00,0.00,None
3/28/2019,52.00,63.00,0.50,0.00,0.00,0.00,0.00,None
3/28/2019,52.50,63.50,0.78,3.00,2.00,2.00,2.00,"Another powerful storm brought snow and high winds across northern and central Utah. Overnight, a lake effect snow band brought significant snowfall to the Salt Lake Valley. This snow contained a high water content, taking tree branches down throughout the Salt Lake Valley, leading to power outages, and creating difficult travel conditions.Numerous trees were reported down across Salt Lake County, with roads blocked in some  areas. Rocky Mountain Power reported more than 900 area outages occurred, leaving nearly 19,000 customers without power in the Salt Lake Valley. In addition, storm total snowfall included 12 inches in Salt Lake City, 10 inches in the Upper Avenues, 7 inches in South Salt Lake, and 5 inches in Cottonwood Heights, Sugarhouse, and Taylorsville."
5/16/2019,53.00,64.00,2.10,2.10,5.00,0.00,0.00,A storm system moved through the area bringing high winds to much of northern Utah. Showers and thunderstorms in the area also brought strong winds to several locations.The Vernon Hill sensor recorded a peak gust of 61 mph.
6/7/2019,53.50,64.50,0.50,12.00,12.00,0.00,0.00,A storm system moved through the area bringing high winds to much of northern Utah.The Flight Park South sensor recorded a peak gust of 70 mph.
6/20/2019,54.00,65.00,0.78,0.00,1.00,0.00,0.00,"Strong winds developed as a storm system moved through Utah, and were locally enhanced by convective showers.The Flight Park South sensor recorded a peak gust of 58 mph."
9/8/2019,54.50,65.50,2.10,19.00,0.00,0.00,0.00,"A storm system moving through northern Utah produced a few high wind gusts from downslope flow over terrain during the morning of September 8. By the afternoon, scattered thunderstorms developed, most of which remained below severe levels. However, one storm produced a microburst in Big Cottonwood Canyon that was sensed by 3 weather stations.The SR-201 at I-80 sensor recorded wind gusts of 58 mph, 61 mph, and 63 mph during the morning."
9/8/2019,55.00,66.00,0.00,0.00,0.00,0.00,0.00,"A storm system moving through northern Utah produced a few high wind gusts from downslope flow over terrain during the morning of September 8. By the afternoon, scattered thunderstorms developed, most of which remained below severe levels. However, one storm produced a microburst in Big Cottonwood Canyon that was sensed by 3 weather stations.The Vernon Hill sensor measured winds gusts of 63 mph and 66 mph during the morning."
11/27/2019,55.50,66.50,0.00,0.00,2.00,2.00,2.00,"A long duration winter storm system brought impressive snowfall totals over a period of several days across much of the state of Utah.Snowfall totals across the Salt Lake and Tooele Valleys included 24 inches in Magna, 21 inches in Grantsville, 19 inches in both Herriman and Tooele, 17 inches on the West Jordan Bench, 15 inches in Upper Millcreek, and 13 inches in both Stansbury Park and Taylorsville."
2/3/2020,56.00,67.00,0.12,5.00,4.00,0.00,0.00,None
2/24/2020,56.50,67.50,0.30,6.00,3.00,0.00,0.00,None
5/22/2020,57.00,68.00,0.55,0.00,0.00,0.00,0.00,None
9/8/2020,57.50,68.50,0.00,0.00,0.00,0.00,0.00,None
2/17/2021,58.00,69.00,0.00,0.00,0.00,0.00,0.00,None
3/13/2021,58.50,69.50,0.00,3.00,2.00,2.00,1.00,A low pressure system moving across northern Arizona brought a period of accumulating  snow to portions of Utah.Storm total snowfall reports included 8 inches in Draper and 6 inches in Sandy.
