Date,Low,High,Precipitation,snow,snowdepth,windgust,windspeed,cloudcover,conditions,description
1/1/2016,3.5,19.8,0,0,7.06,40.3,9.1,0.90%,Clear,Clear conditions throughout the day.
1/2/2016,4.6,23.5,0,0,7.02,33.3,7.7,62.30%,Partially cloudy,Partly cloudy throughout the day.
1/3/2016,19.1,26.2,0,0,6.73,34.4,5.8,83.40%,Partially cloudy,Partly cloudy throughout the day.
1/4/2016,18.2,30,0,0,6.48,28.9,7.9,82.30%,Partially cloudy,Partly cloudy throughout the day.
1/5/2016,27.3,38.4,0.01,0,6.03,,14.1,93.00%,"Snow, Overcast",Cloudy skies throughout the day with morning rain.
1/6/2016,29.7,38.6,0.08,0,5.3,46.1,7.5,91.20%,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.
1/7/2016,31,33.9,0.03,1.36,5.87,,4.9,95.80%,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.
1/8/2016,30.7,35,0.12,0.58,6.45,,10.8,92.50%,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.
1/9/2016,29.6,34.9,0,2.86,7.6,,8.3,87.60%,Partially cloudy,Partly cloudy throughout the day.
1/10/2016,22.4,31.7,0,0,4.82,,8.6,80.50%,Partially cloudy,Partly cloudy throughout the day.
1/11/2016,19.3,32.5,0,0,4,,8.7,28.40%,Partially cloudy,Partly cloudy throughout the day.
1/12/2016,18.3,33.2,0,0,4,,10.7,43.00%,Partially cloudy,Partly cloudy throughout the day.
1/13/2016,18.6,29.5,0,0.7,4.65,,12.7,58.60%,Partially cloudy,Partly cloudy throughout the day.
1/14/2016,22.9,37.4,0.01,0.94,5.58,,10.3,84.80%,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.
1/15/2016,30.3,34.6,0.08,0.75,6.07,,12.2,94.30%,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.
1/16/2016,28.4,37.3,0.01,0.17,6.04,,12,83.60%,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.
1/17/2016,32,44.6,0.02,3.22,8.52,,12.2,81.60%,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.
1/18/2016,33.9,40.4,0.24,0,6.25,,11.4,92.60%,"Rain, Overcast",Cloudy skies throughout the day with rain.
1/19/2016,27,39.5,0,0.02,5.59,31.1,23.9,88.70%,Partially cloudy,Partly cloudy throughout the day.
1/20/2016,29.6,39.6,0.07,0.02,5.31,36.9,26.4,72.70%,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.
1/21/2016,26.4,40.2,0,0,5.32,27.7,11.6,43.80%,Partially cloudy,Partly cloudy throughout the day.
1/22/2016,27.6,41.5,0,0,4.98,,14.3,65.70%,Partially cloudy,Partly cloudy throughout the day.
1/23/2016,28.5,39.4,0.3,1.97,5.79,,13.1,89.90%,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.
1/24/2016,31.6,35.7,0.22,1.42,7.21,,9.3,92.20%,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.
1/25/2016,25.6,35.7,0,0.09,7.3,,7.7,64.90%,Partially cloudy,Partly cloudy throughout the day.
1/26/2016,21.4,38.3,0,0,6.74,,8.4,48.70%,Partially cloudy,Partly cloudy throughout the day.
1/27/2016,20.4,36.2,0,0,6.1,,10.7,45.60%,Partially cloudy,Partly cloudy throughout the day.
1/28/2016,22.5,36.7,0,0,5.85,,9.6,43.80%,Partially cloudy,Partly cloudy throughout the day.
1/29/2016,26.9,45.7,0.04,0.83,6.59,31.1,20.7,80.40%,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.
1/30/2016,26,46.3,0.48,1.67,7.78,30,20.6,87.40%,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.
1/31/2016,20.5,29.7,0.01,0.82,8.42,32.2,10.1,72.40%,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.
2/1/2016,20.1,29.5,0.05,0.31,8.73,34.4,24.7,88.40%,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.
2/2/2016,13.7,27.9,0,0,7.71,,7.6,64.30%,Partially cloudy,Partly cloudy throughout the day.
2/3/2016,18,28.9,0,0.36,6.02,,11.9,64.50%,Partially cloudy,Partly cloudy throughout the day.
2/4/2016,18.7,29.6,0.02,1.19,7.21,,10,84.80%,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.
2/5/2016,26.9,38.3,0.02,0.1,7.31,,8.9,74.60%,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.
2/6/2016,21.9,40.1,0,0,7.03,20.8,13.4,46.30%,Partially cloudy,Partly cloudy throughout the day.
2/7/2016,23.9,38.6,0,0,6.81,,8.4,53.90%,Partially cloudy,Partly cloudy throughout the day.
2/8/2016,22.8,38.7,0,0,6.35,,8.1,44.20%,Partially cloudy,Partly cloudy throughout the day.
2/9/2016,24.9,39.5,0,0,6.03,,8.6,6.40%,Clear,Clear conditions throughout the day.
2/10/2016,26.9,33.1,0,0.53,6.1,,9.7,90.20%,Overcast,Cloudy skies throughout the day.
2/11/2016,27.9,33.1,0,0,5.82,,10.1,95.50%,Overcast,Cloudy skies throughout the day.
2/12/2016,28.8,33.9,0.01,0,4.77,,10,96.90%,"Snow, Overcast",Cloudy skies throughout the day with morning rain.
2/13/2016,28.1,35.8,0,0.1,3.97,,11.1,78.30%,Partially cloudy,Partly cloudy throughout the day.
2/14/2016,28.9,42.7,0.1,0.06,3.96,,12.5,91.30%,"Snow, Overcast",Cloudy skies throughout the day with snow.
2/15/2016,38,55.8,0,0,3.72,,10.2,83.00%,Partially cloudy,Partly cloudy throughout the day.
2/16/2016,37.9,57.5,0,0,3.53,,13.5,66.80%,Partially cloudy,Partly cloudy throughout the day.
2/17/2016,37.1,60.3,0,0,3.32,39.1,26,89.70%,Partially cloudy,Partly cloudy throughout the day.
2/18/2016,33.2,56.5,0.29,0.51,1.04,51.7,36,81.40%,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.
2/19/2016,34,55.8,0,0.3,0.81,29.9,20.5,53.40%,Partially cloudy,Partly cloudy throughout the day.
2/20/2016,37,48.7,0,0,0.27,,12.8,62.40%,Partially cloudy,Partly cloudy throughout the day.
2/21/2016,30.9,48.7,0,0,0,,9.9,62.00%,Partially cloudy,Partly cloudy throughout the day.
2/22/2016,34,43,0.01,0,0,25.3,16.9,73.30%,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2/23/2016,28.2,44,0,0,0,,10.1,25.60%,Partially cloudy,Partly cloudy throughout the day.
2/24/2016,29,49.7,0,0,0,,11.1,50.30%,Partially cloudy,Partly cloudy throughout the day.
2/25/2016,30,53.8,0,0,0,,10.3,20.90%,Partially cloudy,Partly cloudy throughout the day.
2/26/2016,33.2,61.7,0,0,0,,9.3,27.60%,Partially cloudy,Partly cloudy throughout the day.
2/27/2016,39.8,64.6,0,0,0,32.8,22.9,68.30%,Partially cloudy,Partly cloudy throughout the day.
2/28/2016,33.1,56.8,0,0,0,,8.3,49.30%,Partially cloudy,Becoming cloudy in the afternoon.
2/29/2016,38.8,52.9,0,0,0,17.2,10.4,68.50%,Partially cloudy,Partly cloudy throughout the day.
3/1/2016,35.1,60.9,0,0,0,,14.6,72.40%,Partially cloudy,Partly cloudy throughout the day.
3/2/2016,41.1,58.9,0,0,0,31.1,22.3,53.70%,Partially cloudy,Clearing in the afternoon.
3/3/2016,38,67.5,0,0,0,,14.8,69.90%,Partially cloudy,Partly cloudy throughout the day.
3/4/2016,43.1,66.6,0,0,0,,12.4,72.70%,Partially cloudy,Partly cloudy throughout the day.
3/5/2016,51.2,66.7,0,0,0,20.8,16.9,80.50%,Partially cloudy,Partly cloudy throughout the day.
