Date,text
JAN 7 2016,THE NATIONAL WEATHER SERVICE IN SALT LAKE CITY HAS ISSUED A DENSE FOG ADVISORY...WHICH IS IN EFFECT UNTIL 11 AM MST THIS MORNING. * AFFECTED AREA...THE SALT LAKE AND TOOELE VALLEYS. * VISIBILITIES...QUARTER MILE OR LESS. * TIMING...THROUGH MID MORNING. * IMPACTS...POOR VISIBILITIES WILL CREATE DIFFICULT DRIVING CONDITIONS THROUGH THE MORNING COMMUTE. MOTORISTS SHOULD ALSO USE CAUTION AS ROADWAYS MAY BE SLICK.
JAN 7 2016,THE NATIONAL WEATHER SERVICE IN SALT LAKE CITY HAS ISSUED A WINTER WEATHER ADVISORY FOR SNOW...WHICH IS IN EFFECT UNTIL NOON MST FRIDAY. * AFFECTED AREA...THE WASATCH FRONT...TOOELE VALLEY...GREAT SALT LAKE DESERT AND MOUNTAINS...AND WEST CENTRAL UTAH. * SNOW ACCUMULATIONS...1 TO 4 INCHES WITH LOCALLY HIGHER AMOUNTS POSSIBLE. * TIMING...SNOW WILL INCREASE THIS EVENING AND CONTINUE OVERNIGHT THROUGH FRIDAY MORNING BEFORE TAPERING OFF.  * IMPACTS...ACCUMULATING SNOW WILL IMPACT TRAVEL ACROSS NORTHERN AND WESTERN UTAH OVERNIGHT THROUGH FRIDAY MORNING...INCLUDING THE MORNING COMMUTE. BE PREPARED FOR WINTER DRIVING CONDITIONS...AND PLAN ACCORDINGLY...INCLUDING ALLOWING EXTRA TRAVEL TIME.
JAN 14 2016,THE NATIONAL WEATHER SERVICE IN SALT LAKE CITY HAS ISSUED A WINTER WEATHER ADVISORY FOR SNOW...WHICH IS IN EFFECT FROM MIDNIGHT TONIGHT TO 11 AM MST FRIDAY.  * AFFECTED AREA...THE WASATCH FRONT...WASATCH MOUNTAIN   VALLEYS...GREAT SALT LAKE DESERT...WEST CENTRAL UTAH...AND THE   SEVIER AND SANPETE VALLEYS.  * SNOW ACCUMULATIONS...GENERALLY 1 TO 4 INCHES...LOCALLY HIGHER   AMOUNTS POSSIBLE.  * TIMING...DEVELOPING IN THE PRE-DAWN HOURS...WITH THE BULK OF THE   SNOW DURING THE MORNING COMMUTE...BEFORE TAPERING OFF MID DAY.  * IMPACTS...EARLY MORNING SNOWFALL WILL LIKELY CREATE TRAVEL   DIFFICULTIES DURING THE MORNING COMMUTE. PLAN EXTRA TIME FOR   TRAVEL FRIDAY MORNING...AND ALLOW EXTRA FOLLOWING DISTANCE. 
JAN 15 2016,...WINTER WEATHER ADVISORY REMAINS IN EFFECT UNTIL 11 AM MST THIS MORNING...  * AFFECTED AREA...THE WASATCH FRONT...WASATCH MOUNTAIN VALLEYS...    GREAT SALT LAKE DESERT...WEST CENTRAL UTAH...AND THE SEVIER    AND SANPETE VALLEYS.   * SNOW ACCUMULATIONS...TOTAL ACCUMULATION OF 1 TO 4 INCHES WITH    LOCALLY HIGHER AMOUNTS POSSIBLE ALONG THE BENCHES.   * TIMING...SNOW CONTINUING THROUGH MID MORNING BEFORE TAPERING    OFF BY MID DAY.   * IMPACTS...SNOWFALL WILL CONTINUE TO CREATE TRAVEL DIFFICULTIES   ESPECIALLY FROM UTAH COUNTY SOUTHWARD. PLAN EXTRA TIME FOR   TRAVEL THIS MORNING AND ALLOW EXTRA FOLLOWING DISTANCE.
JAN 19 2016,...DENSE FOG ADVISORY IN EFFECT UNTIL 9 AM MST THIS MORNING...  THE NATIONAL WEATHER SERVICE IN SALT LAKE CITY HAS ISSUED A DENSE FOG ADVISORY...WHICH IS IN EFFECT UNTIL 9 AM MST THIS MORNING.  * AFFECTED AREA...THE SALT LAKE AND TOOELE VALLEYS AND THE   SOUTHERN WASATCH FRONT.  * VISIBILITIES...NEAR ONE QUARTER MILE WITH A FEW AREA NEAR ZERO   VISIBILITY ALONG THE BENCH AREAS AND NEAR THE GREAT SALT LAKE.   * TIMING...CLEARING SKIES WILL ALLOW FOR WIDESPREAD FOG ACROSS THE   ADVISORY AREA. DENSE FOG DEVELOPING NEAR THE GREAT SALT LAKE   WILL GRADUALLY EXPAND ACROSS THE SALT LAKE AND TOOELE VALLEYS   OVERNIGHT. UTAH COUNTY WILL SEE FOG DEVELOP BY MORNING WITH   POCKETS OF DENSE FOG FOR THE MORNING COMMUTE.   * IMPACTS...HAZARDOUS DRIVING CONDITIONS DUE TO REDUCED VISIBILITY   WILL EXIST THROUGH THE BALANCE OF TONIGHT AND INTO THE MORNING   COMMUTE. 
JAN 23 2016,...WINTER WEATHER ADVISORY IN EFFECT FROM 8 PM THIS EVENING TO 10 AM MST SUNDAY...  THE NATIONAL WEATHER SERVICE IN SALT LAKE CITY HAS ISSUED A WINTER WEATHER ADVISORY FOR SNOW...WHICH IS IN EFFECT FROM 8 PM THIS EVENING TO 10 AM MST SUNDAY.  * AFFECTED AREA...THE SALT LAKE AND TOOELE VALLEYS...SOUTHERN   WASATCH FRONT...AND THE WASATCH MOUNTAIN VALLEYS SOUTH OF   INTERSTATE 80 INCLUDING PARK CITY AND HEBER.  * SNOW ACCUMULATIONS...GENERALLY 1 TO 4 INCHES...LOCALLY HIGHER ON   THE BENCHES POSSIBLE. ACROSS THE PARK CITY AND HEBER AREAS...2   TO 5 INCHES CAN BE EXPECTED.  * TIMING...DEVELOPING THIS EVENING...BECOMING HEAVY AT TIMES   OVERNIGHT...BEFORE DIMINISHING SUNDAY MORNING.  * SNOW LEVELS...BEFORE 3 AM...RAIN MAY MIX IN WITH SNOW ALONG THE   WASATCH FRONT. PRECIPITATION WILL BECOME ALL SNOW EARLY SUNDAY   MORNING.  * IMPACTS...WINTER DRIVING CONDITIONS MAY DEVELOP ACROSS PORTIONS   OF THE SALT LAKE/TOOELE/UTAH VALLEYS OVERNIGHT...LASTING INTO   SUNDAY MORNING. MAYFLOWER SUMMIT BETWEEN HEBER AND PARK CITY IS   ESPECIALLY LIKELY TO DETERIORATE.
JAN 24 2016,...WINTER WEATHER ADVISORY REMAINS IN EFFECT UNTIL 10 AM MST THIS MORNING...  * AFFECTED AREA...THE CENTRAL AND SOUTHERN WASATCH FRONT...THE   WASATCH MOUNTAIN VALLEYS...SANPETE AND SEVIER VALLEYS...AND WEST   CENTRAL UTAH.  * SNOW ACCUMULATIONS...AN ADDITIONAL 1 TO 4 INCHES WITH THE   GREATEST AMOUNTS SOUTHEAST OF THE GREAT SALT LAKE.  * TIMING...SNOW WILL CONTINUE...HEAVY AT TIMES THROUGH MID   MORNING THEN GRADUALLY BECOME LESS WIDESPREAD.  * IMPACTS...WINTER DRIVING CONDITIONS ARE EXPECTED THROUGH MID   MORNING INCLUDING I-15 AND I-80 AS WELL AS US-89 SOUTH OF   SPANISH FORK CANYON.
JAN 29 2016,...WINTER WEATHER ADVISORY IN EFFECT FROM 4 AM TO 5 PM MST SATURDAY...  THE NATIONAL WEATHER SERVICE IN SALT LAKE CITY HAS ISSUED A WINTER WEATHER ADVISORY FOR SNOW...WHICH IS IN EFFECT FROM 4 AM TO 5 PM MST SATURDAY.  * AFFECTED AREA...THE CACHE VALLEY...WASATCH FRONT AND THE GREAT   SALT LAKE DESERT AND MOUNTAINS.  * SNOW ACCUMULATIONS...STORM TOTALS OF 1 TO 4 INCHES WITH LOCALLY   HIGHER AMOUNTS.  * TIMING...RAIN WILL QUICKLY CHANGE TO SNOW AS A COLD FRONT   CROSSES THE AREA EARLY SATURDAY MORNING. SNOW WILL   CONTINUE...HEAVY AT TIMES THROUGH EARLY SATURDAY AFTERNOON   BEFORE DIMINISHING LATER SATURDAY AFTERNOON.  * IMPACTS...WINTER DRIVING CONDITIONS CAN BE EXPECTED ACROSS   NORTHERN UTAH INCLUDING INTERSTATES 15...84 AND 80.
JAN 30 2016,...WINTER WEATHER ADVISORY REMAINS IN EFFECT UNTIL 5 PM MST THIS AFTERNOON...  * AFFECTED AREA...THE CACHE VALLEY...WASATCH FRONT AND THE GREAT    SALT LAKE DESERT AND MOUNTAINS.   * SNOW ACCUMULATIONS...STORM TOTALS OF 1 TO 4 INCHES.  * TIMING...RAIN WILL QUICKLY CHANGE TO SNOW AS A COLD FRONT   CROSSES THE AREA EARLY THIS MORNING. SNOW WILL CONTINUE...HEAVY   AT TIMES...INTO EARLY SATURDAY AFTERNOON...DIMINISHING LATE   SATURDAY AFTERNOON.  * IMPACTS...WINTER DRIVING CONDITIONS CAN BE EXPECTED ACROSS   NORTHERN UTAH INCLUDING INTERSTATES 15...84 AND 80...WITH THE   MOST SIGNIFICANT IMPACTS EXPECTED TO BE NORTH OF SALT LAKE CITY.
JAN 31 2016,..WINTER WEATHER ADVISORY IN EFFECT UNTIL 4 PM MST MONDAY...  THE NATIONAL WEATHER SERVICE IN SALT LAKE CITY HAS ISSUED A WINTER WEATHER ADVISORY FOR SNOW AND BLOWING SNOW...WHICH IS IN EFFECT UNTIL 4 PM MST MONDAY.  * AFFECTED AREA...THE CENTRAL AND SOUTHERN WASATCH FRONT...TOOELE   VALLEY...AND WASATCH MOUNTAIN VALLEYS SOUTH OF I-80.  * SNOW ACCUMULATIONS...1 TO 4 INCHES OF NEW ACCUMULATION THROUGH   MONDAY AFTERNOON...WITH LOCALLY HIGHER AMOUNTS SOUTH OF PROVO.   * TIMING...SNOW WILL SPREAD NORTHWARD INTO UTAH COUNTY THIS   EVENING...THEN INTO THE SOUTHERN SALT LAKE AND TOOELE   VALLEYS...AND THE HEBER VALLEY OVERNIGHT THROUGH MONDAY MORNING.   SNOW WILL TAPER OFF MONDAY AFTERNOON.   * WINDS...NORTH WINDS OF 15 TO 25 MPH WITH LOCAL GUSTS IN EXCESS   OF 40 MPH WILL RESULT IN CONSIDERABLE BLOWING AND DRIFTING OF   SNOW...IN PARTICULAR ACROSS NORTHERN UTAH COUNTY INCLUDING LEHI   AND ALPINE.   * IMPACTS...SNOW AND BLOWING SNOW WILL RESULT IN WINTER DRIVING   CONDITIONS ACROSS THE AREA THROUGH MONDAY...AND WILL LIKELY   IMPACT THE MORNING COMMUTE. LOCALLY ENHANCED WINDS RESULTING IN   CONSIDERABLE BLOWING AND DRIFTING SNOW ARE POSSIBLE IN NORTHERN   UTAH COUNTY MONDAY IMPACTING I-15 AND SR-92. 
