,id,Date,fatalities,CrashCount
0,0,2016-01-01,1,1
1,1,2016-01-03,1,1
2,2,2016-01-04,1,1
3,3,2016-01-11,1,1
4,4,2016-01-11,1,1
5,5,2016-01-14,1,1
6,6,2016-01-14,1,1
7,7,2016-01-29,1,1
8,8,2016-02-01,1,1
9,9,2016-02-13,1,1
10,10,2016-01-16,1,1
11,11,2016-01-28,1,1
12,12,2016-01-30,1,1
13,13,2016-02-03,1,1
14,14,2016-02-05,1,1
15,15,2016-02-19,1,1
16,16,2016-02-23,3,1
17,17,2016-01-04,1,1
18,18,2016-02-26,1,1
19,19,2016-02-05,1,1
20,20,2016-03-08,1,1
21,21,2016-02-14,1,1
22,22,2016-02-18,1,1
23,23,2016-03-14,1,1
24,24,2016-03-07,1,1
25,25,2016-03-20,1,1
26,26,2016-03-20,1,1
27,27,2016-01-01,2,1
28,28,2016-02-28,1,1
29,29,2016-03-26,1,1
30,30,2016-03-20,1,1
31,31,2016-03-29,1,1
32,32,2016-04-11,1,1
33,33,2016-02-17,1,1
34,34,2016-02-22,1,1
35,35,2016-03-02,1,1
36,36,2016-03-28,1,1
37,37,2016-04-07,1,1
38,38,2016-04-08,1,1
39,39,2016-04-07,1,1
40,40,2016-04-09,1,1
41,41,2016-04-09,1,1
42,42,2016-03-20,1,1
43,43,2016-04-09,1,1
44,44,2016-04-12,1,1
45,45,2016-04-13,1,1
46,46,2016-04-13,1,1
47,47,2016-04-16,1,1
48,48,2016-04-19,1,1
49,49,2016-04-22,1,1
50,50,2016-04-23,1,1
51,51,2016-04-15,1,1
52,52,2016-04-22,1,1
53,53,2016-04-27,1,1
54,54,2016-03-10,1,1
55,55,2016-02-03,1,1
56,56,2016-02-09,1,1
57,57,2016-04-13,1,1
58,58,2016-04-24,1,1
59,59,2016-02-07,1,1
60,60,2016-05-07,1,1
61,61,2016-03-27,1,1
62,62,2016-04-20,1,1
63,63,2016-05-01,1,1
64,64,2016-04-30,1,1
65,65,2016-05-03,1,1
66,66,2016-05-11,1,1
67,67,2016-05-14,1,1
68,68,2016-05-15,1,1
69,69,2016-05-12,4,1
70,70,2016-05-16,1,1
71,71,2016-05-19,1,1
72,72,2016-04-11,1,1
73,73,2016-05-08,1,1
74,74,2016-05-08,1,1
75,75,2016-05-13,1,1
76,76,2016-05-14,1,1
77,77,2016-05-17,1,1
78,78,2016-05-18,1,1
79,79,2016-05-22,1,1
80,80,2016-05-29,1,1
81,81,2016-05-30,1,1
82,82,2016-06-02,1,1
83,83,2016-04-06,1,1
84,84,2016-05-05,1,1
85,85,2016-05-12,1,1
86,86,2016-05-25,1,1
87,87,2016-06-01,1,1
88,88,2016-05-13,1,1
89,89,2016-05-27,1,1
90,90,2016-06-01,2,1
91,91,2016-06-01,1,1
92,92,2016-06-03,1,1
93,93,2016-06-06,1,1
94,94,2016-06-08,1,1
95,95,2016-06-09,1,1
96,96,2016-06-10,1,1
97,97,2016-06-10,1,1
98,98,2016-06-12,1,1
99,99,2016-06-15,1,1
100,100,2016-06-15,1,1
101,101,2016-06-19,1,1
102,102,2016-06-18,1,1
103,103,2016-06-18,1,1
104,104,2016-06-20,1,1
105,105,2016-06-22,1,1
106,106,2016-06-29,1,1
107,107,2016-06-29,3,1
108,108,2016-06-30,2,1
109,109,2016-05-11,1,1
110,110,2016-06-06,1,1
111,111,2016-06-09,1,1
112,112,2016-07-01,1,1
113,113,2016-07-02,1,1
114,114,2016-07-03,1,1
115,115,2016-07-04,1,1
116,116,2016-05-09,1,1
117,117,2016-06-11,2,1
118,118,2016-06-30,1,1
119,119,2016-07-06,1,1
120,120,2016-07-08,1,1
121,121,2016-07-02,1,1
122,122,2016-06-15,1,1
123,123,2016-06-16,1,1
124,124,2016-06-28,1,1
125,125,2016-06-29,1,1
126,126,2016-07-15,1,1
127,127,2016-07-20,1,1
128,128,2016-07-20,1,1
129,129,2016-03-04,2,1
130,130,2016-05-31,1,1
131,131,2016-05-31,2,1
132,132,2016-06-06,1,1
133,133,2016-07-22,1,1
134,134,2016-07-24,1,1
135,135,2016-07-25,2,1
136,136,2016-07-25,1,1
137,137,2016-07-27,1,1
138,138,2016-07-28,1,1
139,139,2016-07-30,1,1
140,140,2016-08-01,1,1
141,141,2016-08-04,2,1
142,142,2016-08-04,1,1
143,143,2016-08-04,1,1
144,144,2016-07-26,1,1
145,145,2016-07-02,1,1
146,146,2016-07-25,1,1
147,147,2016-07-29,1,1
148,148,2016-07-30,1,1
149,149,2016-06-15,1,1
150,150,2016-07-23,1,1
151,151,2016-08-05,1,1
152,152,2016-08-13,1,1
153,153,2016-08-14,1,1
154,154,2016-08-17,2,1
155,155,2016-07-29,1,1
156,156,2016-08-25,1,1
157,157,2016-07-16,1,1
158,158,2016-07-19,1,1
159,159,2016-07-30,1,1
160,160,2016-09-03,1,1
161,161,2016-07-29,1,1
