Date,Count-Crashes,Count-Fatalities
1950-04-24,1,1
2016-01-04,1,1
2016-01-16,1,1
2016-01-29,1,1
2016-02-03,1,1
2016-02-05,1,1
2016-02-07,1,1
2016-02-13,1,1
2016-02-17,1,1
2016-02-19,1,1
2016-02-22,1,1
2016-03-07,1,1
2016-03-20,1,1
2016-03-27,1,1
2016-04-07,1,1
2016-04-08,1,1
2016-04-09,1,1
2016-04-11,1,1
2016-04-19,1,1
2016-05-05,1,1
2016-05-09,1,1
2016-05-11,1,1
2016-05-13,1,1
2016-05-18,1,1
2016-05-19,1,1
2016-05-31,1,1
2016-06-01,1,2
2016-06-06,1,1
2016-06-15,2,2
2016-06-18,1,1
2016-06-28,1,1
2016-06-29,2,2
2016-07-01,1,1
2016-07-02,1,1
2016-07-16,1,1
2016-07-19,1,1
2016-07-20,1,1
2016-07-24,1,1
2016-07-26,1,1
2016-07-28,1,1
2016-07-29,2,2
2016-08-04,1,1
2016-08-14,1,1
2016-08-25,1,1
2016-09-05,1,1
2016-09-07,1,1
2016-09-11,1,1
2016-09-13,1,1
2016-09-15,1,1
2016-09-23,1,1
2016-09-29,1,1
2016-10-08,1,1
2016-10-16,1,1
2016-10-20,1,1
2016-10-25,1,1
2016-11-01,1,1
2016-11-06,1,1
2016-11-11,1,1
2016-11-12,1,1
2016-11-18,1,1
2016-11-20,1,2
2016-12-06,1,1
2016-12-13,1,1
2016-12-21,1,1
2016-12-25,1,1
2017-01-09,1,1
2017-01-21,1,1
2017-02-07,1,1
2017-02-09,1,1
2017-02-10,1,1
2017-02-16,1,2
2017-03-05,1,1
2017-03-09,2,2
2017-03-16,1,1
2017-03-27,1,1
2017-03-30,1,1
2017-03-31,1,1
2017-04-03,1,1
2017-04-10,1,1
2017-04-17,1,1
2017-04-18,1,1
2017-04-30,1,1
2017-05-02,1,1
2017-05-04,1,1
2017-05-06,1,1
2017-05-17,1,1
2017-06-03,1,1
2017-06-07,1,1
2017-06-20,1,1
2017-06-23,2,2
2017-06-24,1,1
2017-07-03,1,1
2017-07-04,1,1
2017-07-16,1,1
2017-07-24,1,1
2017-07-28,1,2
2017-08-16,1,1
2017-08-17,1,1
2017-08-20,1,1
2017-08-26,1,1
2017-08-28,1,1
2017-08-30,2,2
2017-09-02,2,2
2017-09-09,1,2
2017-09-10,1,1
2017-09-20,1,2
2017-09-24,1,1
2017-09-26,1,1
2017-09-27,1,1
2017-09-29,1,1
2017-10-12,1,1
2017-10-13,1,1
2017-10-16,1,1
2017-10-19,1,1
2017-10-29,1,1
2017-11-02,1,1
2017-11-04,1,1
2017-11-07,1,1
2017-11-22,1,1
2017-11-23,1,1
2017-12-01,1,1
2017-12-02,1,1
2017-12-04,1,1
2017-12-07,1,1
2017-12-23,1,1
2017-12-29,1,1
2018-01-09,1,1
2018-01-11,1,1
2018-01-16,1,1
2018-01-22,1,1
2018-01-31,1,1
2018-02-04,1,1
2018-02-11,1,1
2018-02-14,1,1
2018-02-18,1,1
2018-02-21,1,1
2018-02-28,1,1
2018-03-10,1,1
2018-03-15,1,1
2018-03-17,1,1
2018-03-24,1,1
2018-03-25,1,1
2018-03-27,1,1
2018-04-10,1,1
2018-04-11,1,1
2018-04-22,1,1
2018-04-29,1,1
2018-05-13,1,1
2018-05-15,1,1
2018-05-17,1,1
2018-05-19,1,1
2018-05-25,1,1
2018-05-27,1,1
2018-06-01,1,1
2018-06-07,1,1
2018-06-08,1,1
2018-06-13,1,1
2018-06-16,1,1
2018-07-05,1,1
2018-07-07,1,1
2018-07-15,1,1
2018-07-25,1,1
2018-07-26,1,1
2018-07-29,2,2
2018-08-05,1,2
2018-08-09,1,1
2018-08-11,1,1
2018-08-13,1,1
2018-08-17,1,1
2018-08-19,1,1
2018-08-30,1,1
2018-09-06,1,1
2018-09-08,1,1
2018-09-15,1,1
2018-09-17,1,1
2018-09-25,2,2
2018-09-29,1,1
2018-09-30,1,3
2018-10-02,1,1
2018-10-04,1,1
2018-10-08,1,1
2018-10-27,1,1
2018-11-11,1,1
2018-11-20,1,1
2018-12-01,1,1
2018-12-07,1,1
2018-12-21,1,1
2018-12-31,1,1
2019-01-16,1,1
2019-01-22,1,1
2019-01-23,1,1
2019-01-24,1,1
2019-01-30,1,1
2019-01-31,1,1
2019-02-07,1,1
2019-02-12,2,2
2019-02-26,1,1
2019-03-01,1,2
2019-03-09,1,1
2019-03-10,1,1
2019-03-26,2,2
2019-03-27,1,2
2019-03-31,1,1
2019-04-19,1,1
2019-04-25,1,1
2019-05-25,1,1
2019-06-07,1,1
2019-06-16,1,1
2019-06-21,1,1
2019-06-22,1,1
2019-06-25,1,1
2019-07-03,1,1
2019-07-06,1,1
2019-07-10,1,1
2019-07-15,1,1
2019-07-23,1,1
2019-07-26,1,1
2019-08-17,1,1
2019-08-24,1,1
2019-08-31,1,1
2019-09-05,2,2
2019-09-10,1,1
2019-09-15,1,1
2019-09-25,1,1
2019-09-28,1,1
2019-09-30,1,1
2019-10-08,1,1
2019-10-13,1,1
2019-10-21,1,1
2019-10-30,1,1
