,Date,Count-Crashes,Count-Fatalities,text_x,Low,High,Precipitation,snow,snowdepth,windgust,windspeed,cloudcover,conditions,description,Sum_Crashes,Sum_Fatalities,text_y
0,2016-01-01,0.0,0,,3.5,19.8,0.0,0.0,7.06,40.3,9.1,0.009000000000000001,Clear,Clear conditions throughout the day.,,,Clear conditions throughout the day.
1,2016-01-02,0.0,0,,4.6,23.5,0.0,0.0,7.02,33.3,7.7,0.623,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
2,2016-01-03,0.0,0,,19.1,26.2,0.0,0.0,6.73,34.4,5.8,0.8340000000000001,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
3,2016-01-04,1.0,1,,18.2,30.0,0.0,0.0,6.48,28.9,7.9,0.823,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
4,2016-01-05,0.0,0,,27.3,38.4,0.01,0.0,6.03,0.0,14.1,0.93,"Snow, Overcast",Cloudy skies throughout the day with morning rain.,,,Cloudy skies throughout the day with morning rain.
5,2016-01-06,0.0,0,,29.7,38.6,0.08,0.0,5.3,46.1,7.5,0.912,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,,,Cloudy skies throughout the day with late afternoon rain.
6,2016-01-07,0.0,0,THE NATIONAL WEATHER SERVICE IN SALT LAKE CITY HAS ISSUED A DENSE FOG ADVISORY...WHICH IS IN EFFECT UNTIL 11 AM MST THIS MORNING. * AFFECTED AREA...THE SALT LAKE AND TOOELE VALLEYS. * VISIBILITIES...QUARTER MILE OR LESS. * TIMING...THROUGH MID MORNING. * IMPACTS...POOR VISIBILITIES WILL CREATE DIFFICULT DRIVING CONDITIONS THROUGH THE MORNING COMMUTE. MOTORISTS SHOULD ALSO USE CAUTION AS ROADWAYS MAY BE SLICK.,31.0,33.9,0.03,1.36,5.87,0.0,4.9,0.958,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,,,Cloudy skies throughout the day with late afternoon snow.
7,2016-01-07,0.0,0,THE NATIONAL WEATHER SERVICE IN SALT LAKE CITY HAS ISSUED A WINTER WEATHER ADVISORY FOR SNOW...WHICH IS IN EFFECT UNTIL NOON MST FRIDAY. * AFFECTED AREA...THE WASATCH FRONT...TOOELE VALLEY...GREAT SALT LAKE DESERT AND MOUNTAINS...AND WEST CENTRAL UTAH. * SNOW ACCUMULATIONS...1 TO 4 INCHES WITH LOCALLY HIGHER AMOUNTS POSSIBLE. * TIMING...SNOW WILL INCREASE THIS EVENING AND CONTINUE OVERNIGHT THROUGH FRIDAY MORNING BEFORE TAPERING OFF.  * IMPACTS...ACCUMULATING SNOW WILL IMPACT TRAVEL ACROSS NORTHERN AND WESTERN UTAH OVERNIGHT THROUGH FRIDAY MORNING...INCLUDING THE MORNING COMMUTE. BE PREPARED FOR WINTER DRIVING CONDITIONS...AND PLAN ACCORDINGLY...INCLUDING ALLOWING EXTRA TRAVEL TIME.,31.0,33.9,0.03,1.36,5.87,0.0,4.9,0.958,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,,,Cloudy skies throughout the day with late afternoon snow.
8,2016-01-08,0.0,0,,30.7,35.0,0.12,0.58,6.45,0.0,10.8,0.925,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.,,,Cloudy skies throughout the day with snow clearing later.
9,2016-01-09,0.0,0,,29.6,34.9,0.0,2.86,7.6,0.0,8.3,0.8759999999999999,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
10,2016-01-10,0.0,0,,22.4,31.7,0.0,0.0,4.82,0.0,8.6,0.805,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
11,2016-01-11,0.0,0,,19.3,32.5,0.0,0.0,4.0,0.0,8.7,0.284,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
12,2016-01-12,0.0,0,,18.3,33.2,0.0,0.0,4.0,0.0,10.7,0.43,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
13,2016-01-13,0.0,0,,18.6,29.5,0.0,0.7,4.65,0.0,12.7,0.586,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
14,2016-01-14,0.0,0,THE NATIONAL WEATHER SERVICE IN SALT LAKE CITY HAS ISSUED A WINTER WEATHER ADVISORY FOR SNOW...WHICH IS IN EFFECT FROM MIDNIGHT TONIGHT TO 11 AM MST FRIDAY.  * AFFECTED AREA...THE WASATCH FRONT...WASATCH MOUNTAIN   VALLEYS...GREAT SALT LAKE DESERT...WEST CENTRAL UTAH...AND THE   SEVIER AND SANPETE VALLEYS.  * SNOW ACCUMULATIONS...GENERALLY 1 TO 4 INCHES...LOCALLY HIGHER   AMOUNTS POSSIBLE.  * TIMING...DEVELOPING IN THE PRE-DAWN HOURS...WITH THE BULK OF THE   SNOW DURING THE MORNING COMMUTE...BEFORE TAPERING OFF MID DAY.  * IMPACTS...EARLY MORNING SNOWFALL WILL LIKELY CREATE TRAVEL   DIFFICULTIES DURING THE MORNING COMMUTE. PLAN EXTRA TIME FOR   TRAVEL FRIDAY MORNING...AND ALLOW EXTRA FOLLOWING DISTANCE. ,22.9,37.4,0.01,0.94,5.58,0.0,10.3,0.848,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,,,Partly cloudy throughout the day with morning snow.
