BEGIN_DATE,Low,High,Precipitation,snow,snowdepth,windgust,windspeed,cloudcover,visibility,conditions,description,Sum_Crashes,Sum_Fatalities,text
1/1/2016,3.5,19.8,0,0,7.06,40.3,9.1,0.9,9.7,Clear,Clear conditions throughout the day.,1,1,Clear conditions throughout the day.
1/2/2016,4.6,23.5,0,0,7.02,33.3,7.7,62.3,9.3,Partially cloudy,Partly cloudy throughout the day.,2,2,Partly cloudy throughout the day.
1/3/2016,19.1,26.2,0,0,6.73,34.4,5.8,83.4,8.5,Partially cloudy,Partly cloudy throughout the day.,3,3,Partly cloudy throughout the day.
1/4/2016,18.2,30,0,0,6.48,28.9,7.9,82.3,7,Partially cloudy,Partly cloudy throughout the day.,4,4,Partly cloudy throughout the day.
1/5/2016,27.3,38.4,0.01,0,6.03,,14.1,93,6.4,"Snow, Overcast",Cloudy skies throughout the day with morning rain.,5,5,Cloudy skies throughout the day with morning rain.
1/6/2016,29.7,38.6,0.08,0,5.3,46.1,7.5,91.2,6.8,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,6,6,Cloudy skies throughout the day with late afternoon rain.
1/7/2016,31,33.9,0.03,1.36,5.87,,4.9,95.8,2.4,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,7,7,Cloudy skies throughout the day with late afternoon snow.
1/8/2016,30.7,35,0.12,0.58,6.45,,10.8,92.5,7.1,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.,8,8,Cloudy skies throughout the day with snow clearing later.
1/9/2016,29.6,34.9,0,2.86,7.6,,8.3,87.6,9.8,Partially cloudy,Partly cloudy throughout the day.,9,9,Partly cloudy throughout the day.
1/10/2016,22.4,31.7,0,0,4.82,,8.6,80.5,9.3,Partially cloudy,Partly cloudy throughout the day.,10,10,Partly cloudy throughout the day.
1/11/2016,19.3,32.5,0,0,4,,8.7,28.4,9.9,Partially cloudy,Partly cloudy throughout the day.,11,11,Partly cloudy throughout the day.
1/12/2016,18.3,33.2,0,0,4,,10.7,43,8.9,Partially cloudy,Partly cloudy throughout the day.,12,12,Partly cloudy throughout the day.
1/13/2016,18.6,29.5,0,0.7,4.65,,12.7,58.6,7.3,Partially cloudy,Partly cloudy throughout the day.,13,13,Partly cloudy throughout the day.
1/14/2016,22.9,37.4,0.01,0.94,5.58,,10.3,84.8,7.4,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,14,14,Partly cloudy throughout the day with morning snow.
1/15/2016,30.3,34.6,0.08,0.75,6.07,,12.2,94.3,5.9,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.,15,15,Cloudy skies throughout the day with snow clearing later.
1/16/2016,28.4,37.3,0.01,0.17,6.04,,12,83.6,9.1,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,16,16,Partly cloudy throughout the day with late afternoon snow.
1/17/2016,32,44.6,0.02,3.22,8.52,,12.2,81.6,9.3,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,17,17,Partly cloudy throughout the day with early morning snow.
1/18/2016,33.9,40.4,0.24,0,6.25,,11.4,92.6,7.7,"Rain, Overcast",Cloudy skies throughout the day with rain.,18,18,Cloudy skies throughout the day with rain.
1/19/2016,27,39.5,0,0.02,5.59,31.1,23.9,88.7,7.2,Partially cloudy,Partly cloudy throughout the day.,19,19,Partly cloudy throughout the day.
1/20/2016,29.6,39.6,0.07,0.02,5.31,36.9,26.4,72.7,9.7,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,20,20,Partly cloudy throughout the day with morning snow.
1/21/2016,26.4,40.2,0,0,5.32,27.7,11.6,43.8,9.9,Partially cloudy,Partly cloudy throughout the day.,21,21,Partly cloudy throughout the day.
1/22/2016,27.6,41.5,0,0,4.98,,14.3,65.7,9.9,Partially cloudy,Partly cloudy throughout the day.,22,22,Partly cloudy throughout the day.
1/23/2016,28.5,39.4,0.3,1.97,5.79,,13.1,89.9,6.4,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,23,23,Partly cloudy throughout the day with late afternoon snow.
1/24/2016,31.6,35.7,0.22,1.42,7.21,,9.3,92.2,5.2,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,24,24,Cloudy skies throughout the day with a chance of snow throughout the day.
1/25/2016,25.6,35.7,0,0.09,7.3,,7.7,64.9,9.7,Partially cloudy,Partly cloudy throughout the day.,25,25,Partly cloudy throughout the day.
1/26/2016,21.4,38.3,0,0,6.74,,8.4,48.7,9.8,Partially cloudy,Partly cloudy throughout the day.,26,26,Partly cloudy throughout the day.
1/27/2016,20.4,36.2,0,0,6.1,,10.7,45.6,9.1,Partially cloudy,Partly cloudy throughout the day.,27,27,Partly cloudy throughout the day.
1/28/2016,22.5,36.7,0,0,5.85,,9.6,43.8,7.7,Partially cloudy,Partly cloudy throughout the day.,28,28,Partly cloudy throughout the day.
1/29/2016,26.9,45.7,0.04,0.83,6.59,31.1,20.7,80.4,7.6,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,29,29,Partly cloudy throughout the day with snow.
1/30/2016,26,46.3,0.48,1.67,7.78,30,20.6,87.4,5.9,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,30,30,Partly cloudy throughout the day with a chance of snow throughout the day.
1/31/2016,20.5,29.7,0.01,0.82,8.42,32.2,10.1,72.4,8.1,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,31,31,Partly cloudy throughout the day with late afternoon snow.
2/1/2016,20.1,29.5,0.05,0.31,8.73,34.4,24.7,88.4,9,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,32,32,Partly cloudy throughout the day with early morning snow.
2/2/2016,13.7,27.9,0,0,7.71,,7.6,64.3,9.9,Partially cloudy,Partly cloudy throughout the day.,33,33,Partly cloudy throughout the day.
2/3/2016,18,28.9,0,0.36,6.02,,11.9,64.5,9.6,Partially cloudy,Partly cloudy throughout the day.,34,34,Partly cloudy throughout the day.
2/4/2016,18.7,29.6,0.02,1.19,7.21,,10,84.8,8.6,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,35,35,Partly cloudy throughout the day with morning snow.
