EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
611478,SALT LAKE AND TOOELE VALLEYS (ZONE), ,12/10/2015,1245,High Wind,60.00, ,0,0,0,0,UT,MST-7,MG,102285,Z,3,SLC,0,0,Mesonet, , , , , , , , ,12/10/2015,1715, , , , ,"Peak recorded wind gusts in the Salt Lake and Tooele valleys included 69 mph at the Interstate 80 at Milepost 78 sensor, 63 mph at Flight Park South, 60 mph at the Great Salt Lake Marina, and 60 mph at Stockton Bar.","Strong, gusty southerly winds developed ahead of a Pacific storm system, with the strongest gusts recorded in western Utah.",1
611479,GREAT SALT LAKE DESERT AND MOUNTAINS (ZONE), ,12/10/2015,1615,High Wind,58.00, ,0,0,0,0,UT,MST-7,MG,102285,Z,5,SLC,0,0,Mesonet, , , , , , , , ,12/10/2015,1645, , , , ,"Maximum recorded wind gusts in the Great Salt Lake Desert included 67 mph at Lakeside Mountain and 60 mph at Promontory Point.","Strong, gusty southerly winds developed ahead of a Pacific storm system, with the strongest gusts recorded in western Utah.",2
612555,WASATCH MOUNTAINS I-80 NORTH (ZONE), ,12/13/2015,2100,Winter Storm, , ,0,0,0,0,UT,MST-7, ,102286,Z,7,SLC,0,0,Trained Spotter, , , , , , , , ,12/15/2015,2000, , , , ,"Storm total snowfall in in the northern Wasatch Mountains included 19 inches at Powder Mountain Resort and 17 inches at Snowbasin Resort.","A strong, slow moving winter storm crossed Utah in the middle of December, bringing over a foot of snow to much of the state.",3
612556,WASATCH MOUNTAINS SOUTH OF I-80 (ZONE), ,12/13/2015,2100,Winter Storm, , ,0,0,0,0,UT,MST-7, ,102286,Z,8,SLC,0,0,Trained Spotter, , , , , , , , ,12/15/2015,2100, , , , ,"Storm total snowfall reports included 34 inches at Alta Ski Area, 31 inches at Snowbird Ski Resort, 22 inches at Brighton Resort, and 20 inches at Solitude Mountain Ski Resort.","A strong, slow moving winter storm crossed Utah in the middle of December, bringing over a foot of snow to much of the state.",4
612547,SALT LAKE AND TOOELE VALLEYS (ZONE), ,12/13/2015,2200,Winter Storm, , ,0,0,0,0,UT,MST-7, ,102286,Z,3,SLC,0,0,NWS Employee, , , , , , , , ,12/15/2015,1900, , , , ,"Most of the Salt Lake and Tooele Valleys received over a foot of snow during the event, with storm totals of 23 inches in Sandy and Cottonwood Heights, 21 inches in Upper Millcreek, 18 inches in the Upper Avenues, 17 inches in Olympus Cove, and 15 inches in Draper and Tooele. Totals were often smaller toward the northern end of the Salt Lake Valley, with the Salt Lake International Airport receiving 9.5 inches of snow; however, this included 8.2 inches on the calendar day of December 14, which broke the old record for the date of 5.8 inches in 1922. Over 150 accidents or stranded motorists were reported in the Salt Lake Valley, and at least 1,500 customers were without power at some point during the event, with many of those in Bluffdale and Draper.","A strong, slow moving winter storm crossed Utah in the middle of December, bringing over a foot of snow to much of the state.",5
612531,WASATCH MOUNTAINS I-80 NORTH (ZONE), ,12/21/2015,1200,Winter Storm, , ,0,0,0,0,UT,MST-7, ,102287,Z,7,SLC,0,0,Trained Spotter, , , , , , , , ,12/23/2015,2300, , , , ,"Over 3 feet of snow fell across much of the northern Wasatch Mountains, including storm totals of 43 inches at Snowbasin Resort and 37 inches at Powder Mountain.  Travel was treacherous through the mountains routes and canyons, with snow-packed roads common across the area.","A strong winter storm brought heavy snow to primarily northern Utah starting December 21, with the heaviest snowfall in the Wasatch Mountains.",6
612532,WASATCH MOUNTAINS SOUTH OF I-80 (ZONE), ,12/21/2015,1200,Winter Storm, , ,0,0,0,0,UT,MST-7, ,102287,Z,8,SLC,0,0,Trained Spotter, , , , , , , , ,12/23/2015,2300, , , , ,"Snowfall totals in the Wasatch Mountains were impressive, with many locations reporting 3-4 feet of new snow. The highest total was at Brighton Resort, which received 76 inches of snow at its 9500 foot crest. Other large totals included 48 inches at Solitude Mountain Resort, 42 inches at Alta Ski Lifts, 41 inches at Park City Mountain Resort, and 38 inches at Snowbird Ski and Summer Resort. Travel was treacherous through the mountains routes and canyons, especially in Parleys Canyon and the Cottonwood Canyons, and snow-packed roads were common across the area.","A strong winter storm brought heavy snow to primarily northern Utah starting December 21, with the heaviest snowfall in the Wasatch Mountains.",7
612525,WASATCH MOUNTAINS SOUTH OF I-80 (ZONE), ,12/24/2015,1800,Winter Storm, , ,0,0,0,0,UT,MST-7, ,102293,Z,8,SLC,0,0,Trained Spotter, , , , , , , , ,12/25/2015,1900, , , , ,"Sundance Mountain Resort received the most snow from this storm with a total of 19 new inches. Other snowfall reports included 13 inches in Provo Canyon and 12 inches at both Alta Ski Lifts and Snowbird Ski and Summer Resort.","Northern Utah received even more snowfall during a storm that centered on Christmas Day. In addition, Washington County in far southwest Utah also received gusty northerly winds as the storm exited the area.",8
612522,SALT LAKE AND TOOELE VALLEYS (ZONE), ,12/24/2015,1900,Winter Storm, , ,0,0,0,0,UT,MST-7, ,102293,Z,3,SLC,0,0,Trained Spotter, , , , , , , , ,12/25/2015,1600, , , , ,"Storm total snowfall reports from this relatively quick event included 10 inches in Tooele, Cottonwood Heights, and South Jordan, as well as 8.5 inches in Taylorsville, 8 inches in Kearns, and 7 inches in Sandy.","Northern Utah received even more snowfall during a storm that centered on Christmas Day. In addition, Washington County in far southwest Utah also received gusty northerly winds as the storm exited the area.",9
616658,WASATCH MOUNTAINS SOUTH OF I-80 (ZONE), ,01/21/2016,1400,Avalanche, , ,1,1,0,0,UT,MST-7, ,103195,Z,8,SLC,0,0,Other Federal Agency, , , , , , , , ,01/21/2016,1400, , , , ,"A group of skiers was skiing along Gobblers Knob, between Big Cottonwood and Millcreek Canyons, on the afternoon of January 21. An avalanche, about 600 feet wide, was triggered, and two of the skiers were caught. One skier was partially buried and sustained minor injuries. The other skier, a 49-year-old male, was fully buried by the avalanche. He did not have a pulse when others dug him out of the snow, and he was pronounced dead later that day when all attempts to resuscitate him proved unsuccessful.","Two skiers at Gobblers Knob, near Big Cottonwood Canyon, were caught in an avalanche, and one of them was killed by the accident.",10
